"Model Name","Shadowing","Description","Display As","Dimensions","String Type","String Count","Node Count","Light Count","Est Current (Amps)","Channels Per Node","Channel Count","Start Channel","Start Channel No","#Universe(or id):Start Channel","End Channel No","Default Buffer W x H","Preview","Controller Ports","Connection Protocol","Connection Attributes","Controller Name","Controller Type","Protocol","Controller Description","IP","Baud","Universe/Id","Universe Channel","Controller Channel","Active","Aliases"
"Arches-1",,,"Arches",,"RGB Nodes","1","179","179","9.84500026702881","3","537","!Falcon F48v4:18598","22798","#10:18598","23334","179 x 1","Default","17","ws2811","colorOrder=GRB,brightness=30,SmartRemote=A","Falcon F48v4","Falcon F48V4 - 4 + 4 Smart Receiver Chains","DDP",,"192.168.5.4",,"10","18598","18598",,
"Arches-2",,,"Arches",,"RGB Nodes","1","182","182","10.0100002288818","3","546","!Falcon F48v4:19135","23335","#10:19135","23880","182 x 1","Default","17","ws2811","colorOrder=GBR,brightness=30,SmartRemote=A","Falcon F48v4","Falcon F48V4 - 4 + 4 Smart Receiver Chains","DDP",,"192.168.5.4",,"10","19135","19135",,
"Arches-3",,,"Arches",,"RGB Nodes","1","182","182","10.0100002288818","3","546","!Falcon F48v4:19681","23881","#10:19681","24426","182 x 1","Default","17","ws2811","colorOrder=GBR,brightness=30,SmartRemote=A","Falcon F48v4","Falcon F48V4 - 4 + 4 Smart Receiver Chains","DDP",,"192.168.5.4",,"10","19681","19681",,
"Arches-4",,,"Arches",,"RGB Nodes","1","182","182","10.0100002288818","3","546","!Falcon F48v4:20677","24877","#10:20677","25422","182 x 1","Default","20","ws2811","colorOrder=GBR,SmartRemote=A","Falcon F48v4","Falcon F48V4 - 4 + 4 Smart Receiver Chains","DDP",,"192.168.5.4",,"10","20677","20677",,
"Arches-5",,,"Arches",,"RGB Nodes","1","182","182","10.0100002288818","3","546","!Falcon F48v4:21223","25423","#10:21223","25968","182 x 1","Default","20","ws2811","colorOrder=GBR,SmartRemote=A","Falcon F48v4","Falcon F48V4 - 4 + 4 Smart Receiver Chains","DDP",,"192.168.5.4",,"10","21223","21223",,
"Arches-6",,,"Arches",,"RGB Nodes","1","182","182","10.0100002288818","3","546","!Falcon F48v4:21769","25969","#10:21769","26514","182 x 1","Default","20","ws2811","colorOrder=GBR,SmartRemote=A","Falcon F48v4","Falcon F48V4 - 4 + 4 Smart Receiver Chains","DDP",,"192.168.5.4",,"10","21769","21769",,
"GE Dazzler 1",,,"Custom",,"RGB Nodes","1","650","650","35.75","3","1950","!Falcon F48v4:7819","12019","#10:7819","13968","200 x 200","Default","6","ws2811","SmartRemote=A","Falcon F48v4","Falcon F48V4 - 4 + 4 Smart Receiver Chains","DDP",,"192.168.5.4",,"10","7819","7819",,
"GE Singing Xmas Tree-1",,,"Custom",,"RGB Nodes","1","217","217","11.9349994659424","3","651","!Falcon F48v4:27916","32116","#10:27916","32766","200 x 200","Default","24","ws2811","brightness=30,SmartRemote=A","Falcon F48v4","Falcon F48V4 - 4 + 4 Smart Receiver Chains","DDP",,"192.168.5.4",,"10","27916","27916",,
"GE Singing Xmas Tree-2",,,"Custom",,"RGB Nodes","1","217","217","11.9349994659424","3","651","!Falcon F48v4:27265","31465","#10:27265","32115","200 x 200","Default","24","ws2811","brightness=30,SmartRemote=A","Falcon F48v4","Falcon F48V4 - 4 + 4 Smart Receiver Chains","DDP",,"192.168.5.4",,"10","27265","27265",,
"GE Singing Xmas Tree-3",,,"Custom",,"RGB Nodes","1","217","217","11.9349994659424","3","651","!Falcon F48v4:28567","32767","#10:28567","33417","200 x 200","Default","24","ws2811","brightness=30,SmartRemote=A","Falcon F48v4","Falcon F48V4 - 4 + 4 Smart Receiver Chains","DDP",,"192.168.5.4",,"10","28567","28567",,
